ID,x0,y0,Label,Num channels,Feat0,Feat1,Feat2
715,394,1240,None,3,104,161,86
716,394,1932,None,3,105,125,167
717,395,1567,None,3,110,186,106
718,396,53,None,3,108,175,82
719,396,140,None,3,101,160,66
720,396,393,None,3,97,165,56
721,396,431,None,3,90,114,76
722,396,1787,None,3,106,182,110
723,397,470,None,3,106,182,110
724,397,535,None,3,96,136,90
725,397,1156,None,3,106,185,88
726,398,170,None,3,104,173,107
727,398,963,None,3,89,165,141
728,398,1402,None,3,112,38,189
729,398,1512,None,3,108,193,105
730,398,1545,None,3,166,70,131
731,400,505,None,3,94,136,91
732,401,1240,None,3,107,161,70
733,402,1174,None,3,107,169,75
734,402,1714,None,3,170,113,95
735,403,1842,None,3,112,173,61
736,404,1328,None,3,100,176,122
737,404,1571,None,3,102,170,103
738,404,1619,None,3,108,171,82
739,405,442,None,3,88,117,74
740,405,1192,None,3,105,181,87
741,405,1554,None,3,103,172,91
742,405,2036,None,3,96,131,80
743,406,950,None,3,0,0,255
744,406,973,None,3,96,166,102
745,406,1263,None,3,90,47,175
746,406,1504,None,3,72,41,178
747,406,1658,None,3,103,145,62
748,407,426,None,3,102,156,63
749,407,533,None,3,92,99,236
750,407,573,None,3,112,186,88
751,408,543,None,3,101,140,108
752,410,557,None,3,94,164,80
753,410,1274,None,3,105,189,152
754,410,1925,None,3,106,173,80
755,412,247,None,3,106,84,135
756,412,552,None,3,109,180,79
757,412,957,None,3,103,125,169
758,413,1033,None,3,102,171,99
759,414,71,None,3,101,152,79
760,414,147,None,3,51,86,174
761,414,450,None,3,76,139,151
762,415,1244,None,3,111,173,91
763,416,176,None,3,109,173,79
764,416,1154,None,3,106,201,136
765,416,1610,None,3,93,148,74
766,418,461,None,3,74,156,96
767,418,1040,None,3,102,63,169
768,418,1403,None,3,108,175,80
769,418,1418,None,3,106,139,70
770,418,1768,None,3,108,168,75
771,418,1800,None,3,102,156,79
772,419,971,None,3,94,163,114
773,420,1187,None,3,108,173,81
774,420,1490,None,3,92,67,159
775,422,1574,None,3,110,180,87
776,422,1865,None,3,46,74,158
777,423,1503,None,3,108,180,110
778,423,1812,None,3,111,177,70
779,424,473,None,3,96,157,59
780,424,486,None,3,94,136,86
781,424,1273,None,3,109,165,64
782,424,1317,None,3,101,167,89
783,424,1698,None,3,118,86,70
784,424,1839,None,3,70,112,75
785,426,1327,None,3,109,181,92
786,426,1875,None,3,95,162,127
787,427,1488,None,3,121,136,81
788,428,1028,None,3,98,156,99
789,428,1194,None,3,103,183,129
790,428,1549,None,3,102,157,80
791,428,1712,None,3,110,185,115
792,429,1160,None,3,104,164,66
793,429,1600,None,3,107,164,88
794,429,1861,None,3,100,130,89
795,430,29,None,3,111,177,83
796,430,117,None,3,53,91,146
797,430,976,None,3,81,138,102
798,430,1243,None,3,115,54,184
799,430,1571,None,3,110,175,91
800,430,1893,None,3,9,102,192
801,432,110,None,3,95,140,64
802,432,958,None,3,109,180,97
803,432,970,None,3,39,60,183
804,432,1039,None,3,123,107,169
805,432,1346,None,3,100,162,105
806,433,1410,None,3,108,175,71
807,434,1175,None,3,104,172,95
808,434,1486,None,3,109,178,109
809,435,1528,None,3,105,162,81
810,436,2,None,3,110,182,85
811,436,1582,None,3,122,84,176
812,436,1679,None,3,103,173,100
813,437,94,None,3,73,115,119
814,438,1060,None,3,110,180,76
815,438,1302,None,3,110,187,107
816,438,1590,None,3,172,146,167
817,439,1487,None,3,89,113,109
818,439,1871,None,3,108,174,75
819,440,948,None,3,111,183,67
820,440,959,None,3,109,151,93
821,440,1567,None,3,104,179,131
822,440,1916,None,3,102,169,101
823,441,1616,None,3,69,111,194
824,443,45,None,3,90,157,85
825,443,1084,None,3,90,157,229
826,443,1559,None,3,109,175,101
827,443,1694,None,3,110,187,85
828,444,953,None,3,108,179,94
829,444,1044,None,3,97,156,92
830,445,115,None,3,86,55,140
831,445,1207,None,3,93,165,120
832,446,67,None,3,88,56,102
833,446,1001,None,3,98,78,165
834,447,1651,None,3,110,173,90
